,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
690,特房锦绣祥安三期 3室2厅1卫 89.0平米?,https://xm.58.com/ershoufang/44145207185422x.shtml,180,20225元/㎡,翔安,"五星一里1-10号,五星二里1-13号,五星三里1-10号,五星五里1-10号,五星六里1-27号,五星七里1-13号",3室2厅1卫,89.0㎡,南北, 否 ,低层(共18层),精装修,,2015年,特房锦绣祥安,21422.0元/㎡,1.2元/平米/月,2,35,500
691,单价5.4万 公园小学 95年框架南北通透中层3?,https://xm.58.com/ershoufang/44458819901204x.shtml,598,54305元/㎡,思明,豆仔尾路332-352号,3室2厅2卫,110.12㎡,南北, 否 ,低层(共7层),精装修,70年产权,2000年,豆仔苑,55650.0元/㎡,1.5元/平米/月,0,0,300
692,    层 朝南北精装5房 中庭安静位置?,https://xm.58.com/ershoufang/44466878958627x.shtml,1380,112912元/㎡,湖里,"五缘西三里50-60,102-150号",5室2厅3卫,122.22㎡,南北, 否 ,中层(共17层),精装修,70年产权,2009年,源昌鑫海湾(公寓住宅),108329.0元/㎡,2.7元/平米/月,1.8,50,1380
693,中交和美新城 114平 3室2厅 479. 楼层?,https://xm.58.com/ershoufang/44145924597412x.shtml,479,41989元/㎡,集美,"诚毅北路267-287,291-305号",3室2厅2卫,114.08㎡,南, 否 ,高层(共34层),毛坯,70年产权,2017年,中交和美新城,50244.0元/㎡,0,0,"
                                            ",
694,读老大同 城西新华都附近大三房 采光充足 满五 ?,https://xm.58.com/ershoufang/44226783650329x.shtml,210,15672元/㎡,同安,舒安里37-45号,3室2厅2卫,134.0㎡,南北, 否 ,中层(共7层),精装修,70年产权,2000年,鸿吉楼,14827.0元/㎡,0,0,"
                                            ",
695,成熟小区 拎包入住 乐活小镇三房 可落户 带学位?,https://xm.58.com/ershoufang/44377221638033x.shtml,185,21023元/㎡,集美,黄庄三里60-243号,3室2厅1卫,88.0㎡,南北, 否 ,高层(共18层),简单装修,70年产权,2009年,乐活小镇,21847.0元/㎡,1.1元/平米/月,2.6,40,50
696,满二 朝南 精装修 102平 528万 电梯房 ?,https://xm.58.com/ershoufang/44481265291042x.shtml,528,51765元/㎡,思明,厦禾路986-988号,3室2厅2卫,102.0㎡,南, 否 ,高层(共25层),精装修,70年产权,1996年,银河大厦,53462.0元/㎡,1.2元/平米/月,0,0,30
697,海投尚书房 一海划片，精装大3房，房东诚意出售，?,https://xm.58.com/ershoufang/43570044000385x.shtml,328,28522元/㎡,海沧,孚莲一里174-184号,3室2厅2卫,115.0㎡,南北, 否 ,低层(共33层),精装修,70年产权,2018年,海投尚书房,28596.0元/㎡,3.2元/平米/月,2.19,32,718
698,客都眼红的松柏电梯高层嘉华大厦住家3房看筼筜湖全?,https://xm.58.com/ershoufang/44470156212483x.shtml,520,50628元/㎡,思明,长青路283号,3室2厅2卫,102.71㎡,西南, 否 ,中层(共31层),精装修,70年产权,2006年,嘉华大厦,58467.0元/㎡,1.5元/平米/月,0,35,160
699,新上 蓝海舒适3房 湾景美丽海景美丽 出门湿地公?,https://xm.58.com/ershoufang/44349746571406x.shtml,1050,64915元/㎡,湖里,五缘东二里1-17号,3室2厅2卫,161.75㎡,南北, 否 ,中层(共21层),精装修,70年产权,2000年,国贸蓝海(公寓住宅),66782.0元/㎡,2.6元/平米/月,2.06,45,560
700,凤凰花城 南北通透 195万2室2厅 93平 楼?,https://xm.58.com/ershoufang/43936190368155x.shtml,210,22579元/㎡,集美,锦英南二里68-78号,2室2厅1卫,93.01㎡,南北, 否 ,中层(共33层),毛坯,70年产权,2017年,凤凰花城(一期),24460.0元/㎡,2.2元/平米/月,2.6,30,655
701,双地铁口，10年小区 2梯2户！精装4房！  户?,https://xm.58.com/ershoufang/44435016309409x.shtml,798,46122元/㎡,湖里,嘉禾路296-312号,4室2厅3卫,173.02㎡,南北, 否 ,中层(共28层),精装修,70年产权,2009年,福隆国际,55039.0元/㎡,1.8元/平米/月,4.9,35,60
702,华清 祥福花园旁佳成公寓 楼层佳 南北通透 满五?,https://xm.58.com/ershoufang/44466532390043x.shtml,225,14180元/㎡,同安,西溪里219-225号,3室2厅2卫,158.68㎡,南北, 否 ,高层(共7层),精装修,70年产权,2003年,佳成公寓,14944.0元/㎡,1.2元/平米/月,0,0,500
703,112平 精装修 南北通透 电梯房 满二 楼层好?,https://xm.58.com/ershoufang/44455142501894x.shtml,275,24554元/㎡,集美,锦英南里70-78号,3室2厅2卫,112.0㎡,南北, 否 ,中层(共32层),精装修,70年产权,2017年,夏商新纪元(一期),26498.0元/㎡,2.0元/平米/月,3.04,38,1034
704,集美新城 中交国贸鹭原 地铁口 公园旁 精装交付?,https://xm.58.com/ershoufang/44477889562647x.shtml,366,38527元/㎡,集美,"杏锦路,近苑亭路",3室2厅2卫,95.0㎡,南, 是 ,,精装修,,,中交国贸鹭原,38537.0元/㎡,0.0元/平米/月,3.48,30,1473
705,群惠 一中 双十 明年可读 医院职工宿舍楼 南北?,https://xm.58.com/ershoufang/44448903453328x.shtml,420,63762元/㎡,思明,"上古街10号,白鹿路34号",2室1厅1卫,65.87㎡,南北, 否 ,低层(共7层),精装修,70年产权,2000年,第一医院职工宿舍,63511.0元/㎡,0,0,"
                                            ",
706,满五年 东北向 四室二厅 简单装修?,https://xm.58.com/ershoufang/44458456346370x.shtml,1800,91492元/㎡,湖里,五缘西三里1-47号,4室2厅3卫,196.74㎡,东北, 否 ,高层(共16层),简单装修,,2009年,联发五缘湾1号,86394.0元/㎡,2.7元/平米/月,2,50,1200
707,  户型一线海景楼中楼双露台厦大海滨花园全明海景?,https://xm.58.com/ershoufang/44204107142038x.shtml,850,48475元/㎡,思明,民族路56号,3室2厅2卫,175.35㎡,南北, 否 ,高层(共7层),精装修,70年产权,2008年,海滨花园,49665.0元/㎡,0.9元/平米/月,0,0,100
708,国贸天成 3室2厅2卫 精装修 单价仅售3.4w?,https://xm.58.com/ershoufang/44489107208332x.shtml,343,36490元/㎡,翔安,"翔安东路,近鸿翔北路",3室2厅2卫,94.0㎡,南, 是 ,,精装修,,2021年,国贸天成,36396.0元/㎡,0.0元/平米/月,2,30,1924
709,城南银城明珠 BRT旁 地铁6号线大3房 拎包入?,https://xm.58.com/ershoufang/44488120038404x.shtml,215,17722元/㎡,同安,城南二里1-73号,3室2厅2卫,121.32㎡,南北, 否 ,低层(共9层),精装修,70年产权,2005年,银城明珠,19097.0元/㎡,0.9元/平米/月,2.2,40,1000
710,刚需福音  读外国语中学 精装修两房140万起安?,https://xm.58.com/ershoufang/44488959257883x.shtml,140,25000元/㎡,同安,"环城南路,近同集路",2室2厅1卫,56.0㎡,南, 是 ,,毛坯,70年产权,,保利天汇,24805.0元/㎡,0.0元/平米/月,2.58,41.94,2635
711,满二年 西南北向 四室二厅 精装修?,https://xm.58.com/ershoufang/44488321044883x.shtml,1320,72648元/㎡,湖里,五缘西三里1-47号,4室2厅2卫,181.7㎡,西南, 否 ,低层(共16层),精装修,,2009年,联发五缘湾1号,86394.0元/㎡,2.7元/平米/月,2,50,1200
712,同安一中校门口，森林海，刚需选三房，首付75万内?,https://xm.58.com/ershoufang/44489491906340x.shtml,260,22944元/㎡,同安,海城六里1-10号,3室2厅2卫,113.32㎡,南北, 否 ,低层(共30层),毛坯,70年产权,2017年,欣盛丰森林海,25364.0元/㎡,3.9元/平米/月,2,40,471
713,联发杏林湾 毛坯房 116平大三房  400万 ?,https://xm.58.com/ershoufang/44490004894242x.shtml,400,34483元/㎡,集美,宁海五里1-26号,3室2厅2卫,116.0㎡,南北, 否 ,低层(共39层),毛坯,70年产权,2014年,"联发杏林湾一号(二,三期)",35505.0元/㎡,2.68元/平米/月,3.59,36,300
714,城南 华清 祥福花园 鸿福新村 封闭式小区 二小?,https://xm.58.com/ershoufang/44466532216327x.shtml,189,16435元/㎡,同安,祥平里62-83号,3室2厅2卫,115.0㎡,南北, 否 ,低层(共7层),精装修,70年产权,2005年,鸿福新村,17045.0元/㎡,1.6元/平米/月,0,40,500
715,边套！高层稳定在售！赠送大阳台！非常好的南北户型?,https://xm.58.com/ershoufang/44260677329830x.shtml,1048,65134元/㎡,湖里,五缘东二里1-17号,3室2厅2卫,160.9㎡,南北, 否 ,中层(共25层),简单装修,70年产权,2009年,国贸蓝海(公寓住宅),66782.0元/㎡,2.6元/平米/月,2.06,45,560
716,家门口就是地铁 海投第壹湾 60万方商业体 性价?,https://xm.58.com/ershoufang/44480459912598x.shtml,306,30910元/㎡,海沧,"新景东里21-24,131-136号",3室2厅2卫,99.0㎡,南, 否 ,低层(共40层),毛坯,70年产权,2017年,海投第一湾(一期公寓住宅),33358.0元/㎡,3.5元/平米/月,2.3,30,417
717,中梁正荣府 3室2厅1卫 安全性高 环境优美 品?,https://xm.58.com/ershoufang/44338619457312x.shtml,258,33077元/㎡,集美,东英南路,3室2厅1卫,78.0㎡,南, 是 ,,精装修,,,中梁正荣府,33077.0元/㎡,2.9元/平米/月,2.9,38,653
718,新店 2室2厅1卫 85.0平米 205.00万?,https://xm.58.com/ershoufang/44488959170327x.shtml,205,24118元/㎡,翔安,洪琳湖一里1-28号,2室2厅1卫,85.0㎡,南北, 否 ,低层(共27层),精装修,,2014年,首开领翔国际(一期),25163.0元/㎡,1.56元/平米/月,2.05,35,500
719,嘉华大厦 04年建电梯高层采光好 空~户 可拎包?,https://xm.58.com/ershoufang/44434274005381x.shtml,350,51592元/㎡,思明,长青路283号,3室1厅1卫,67.84㎡,西北, 否 ,中层(共31层),精装修,70年产权,2004年,嘉华大厦,58467.0元/㎡,1.5元/平米/月,0,35,160
720,万科湖心岛 全盘低价 精装 大四房 售价6万每平?,https://xm.58.com/ershoufang/44459051789577x.shtml,1550,60004元/㎡,湖里,"湖心一里4-9号,湖心二里2,5,7,9号,湖心三里1-4,6-7,10,13-15,18,20-21,23号",4室2厅3卫,258.32㎡,南北, 否 ,低层(共21层),精装修,70年产权,2014年,万科湖心岛(公寓住宅),82987.0元/㎡,5.8元/平米/月,2.1,35,1000
721,振兴小区 舒安里 大三房 楼层佳 学校近 满五 ?,https://xm.58.com/ershoufang/44466532430611x.shtml,215,16045元/㎡,同安,舒安里37-45号,3室2厅2卫,134.0㎡,南北, 否 ,中层(共7层),精装修,70年产权,2000年,鸿吉楼,14827.0元/㎡,0,0,"
                                            ",
722,融侨观澜 3室2厅2卫 品质小区 近地铁 公园?,https://xm.58.com/ershoufang/44444341483675x.shtml,249,27978元/㎡,集美,"灌口大道,近松林路",3室2厅2卫,89.0㎡,东南, 是 ,,精装修,70年产权,2020年,融侨观澜,34388.0元/㎡,0.0元/平米/月,2.4,35,1000
723,龙湖春江天玺 2室1厅1卫 低容积 项目在建 品?,https://xm.58.com/ershoufang/44489332610840x.shtml,156,33914元/㎡,海沧,"东孚南路,近东孚东二路",2室1厅1卫,46.0㎡,南, 是 ,,精装修,70年产权,2022年,龙湖春江天玺,33716.0元/㎡,3.3元/平米/月,2.5,30,1592
724,公司房源 莲花总价两房可改小三房朝南就读省优莲花?,https://xm.58.com/ershoufang/44491061959311x.shtml,315,57461元/㎡,思明,莲秀里147-153、131号,2室1厅1卫,54.82㎡,南北, 否 ,中层(共6层),简单装修,70年产权,2000年,龙江大厦,50587.0元/㎡,1.0元/平米/月,0,35,30
725,恒大帝景 3室2厅1卫 业主诚意出售，看房方便带?,https://xm.58.com/ershoufang/42722482884868x.shtml,265,28495元/㎡,集美,"兑英路,近兑山中路",3室2厅1卫,93.0㎡,南, 否 ,低层(共25层),精装修,70年产权,2015年,恒大帝景,30690.0元/㎡,2.75元/平米/月,2.94,42,1735
726,禹洲大学城 精装修 送全套全新家电   楼层  ?,https://xm.58.com/ershoufang/44469589901962x.shtml,130,25386元/㎡,同安,美人山一里2-28号,1室1厅1卫,51.21㎡,南北, 否 ,高层(共35层),精装修,70年产权,2009年,禹洲大学城,24476.0元/㎡,1.6元/平米/月,4.5,35,1100
727,莲前西路房主狂甩高品质好房禹州云顶国际93.55?,https://xm.58.com/ershoufang/44213281635863x.shtml,556,59434元/㎡,思明,莲前西路726-736号,2室2厅1卫,93.55㎡,南北, 否 ,低层(共28层),豪华装修,70年产权,2000年,禹洲云顶国际,67529.0元/㎡,3.5元/平米/月,5.3,11,800
728,2室2厅1卫 89.0平米 215.00万元?,https://xm.58.com/ershoufang/44336687603736x.shtml,215,24158元/㎡,翔安,印斗山三里1-13号,2室2厅1卫,89.0㎡,南北, 否 ,中层(共17层),精装修,70年产权,2015年,特房黎安小镇(三期),24832.0元/㎡,1.8元/平米/月,2.7,35,500
729,超高性价比，赠送率高的大三房，地铁   ?,https://xm.58.com/ershoufang/44448919540748x.shtml,278,33494元/㎡,集美,杏北三里119-123号,3室2厅1卫,83.0㎡,西南, 否 ,高层(共30层),精装修,70年产权,2000年,橡树湾(四期),38447.0元/㎡,2.5元/平米/月,0,0,350
730,5室2厅3卫 258.0平米    935.00?,https://xm.58.com/ershoufang/44448874927774x.shtml,935,36241元/㎡,集美,"园博二里139-141,197-200号",5室2厅3卫,258.0㎡,南北, 否 ,中层(共49层),毛坯,70年产权,2014年,中航城国际社区(A区B02地块公寓),40880.0元/㎡,2.6元/平米/月,0,0,800
731,集美一小岑西路 2室2厅1卫 68.0平米业主急?,https://xm.58.com/ershoufang/43769498393376x.shtml,200,29412元/㎡,集美,岑西路150号,2室2厅1卫,68.0㎡,东北, 否 ,高层(共7层),简单装修,70年产权,2000年,岑西路150号小区,29411.0元/㎡,0,0,"
                                            ",
732,东渡六中旁和通新村三房出售，南北通透，厅带阳台，?,https://xm.58.com/ershoufang/44005614298781x.shtml,430,43677元/㎡,湖里,和通里135-161号,3室2厅1卫,98.45㎡,南北, 否 ,高层(共7层),精装修,70年产权,2001年,和通新村,43918.0元/㎡,0.4元/平米/月,0,41,180
733,槟榔大3房，仅售4万每平，免个税，卖价低于评估价?,https://xm.58.com/ershoufang/44378539513090x.shtml,580,40566元/㎡,思明,凤屿路302-320号,3室2厅2卫,142.98㎡,南北, 否 ,高层(共9层),精装修,70年产权,2001年,福津大街四节点,50193.0元/㎡,1.0元/平米/月,0,0,5
734,诚意者私聊 满二  住房学位 户口在 真实 仅一?,https://xm.58.com/ershoufang/44436544738434x.shtml,160,39497元/㎡,同安,美溪一里2-8号,1室1厅1卫,40.51㎡,南北, 否 ,高层(共20层),精装修,70年产权,2017年,溢翔首府,31599.0元/㎡,1.6元/平米/月,3.4,30,270
735,使用100平，08年电梯朝南精装三房，出价就卖，?,https://xm.58.com/ershoufang/44289825873153x.shtml,378,75419元/㎡,思明,厦禾路861-863号,3室2厅2卫,50.12㎡,南, 否 ,低层(共22层),精装修,70年产权,2008年,九龙城,72173.0元/㎡,2.0元/平米/月,6,30,50
736,高端小区天源     朝南精装三房  户型方正 ?,https://xm.58.com/ershoufang/44411177767823x.shtml,518,44210元/㎡,海沧,"滨湖一里151-155,188-189号",3室2厅2卫,117.17㎡,东南, 否 ,低层(共30层),精装修,70年产权,2014年,天源(B区公寓住宅),52296.0元/㎡,2.9元/平米/月,2.61,43,650
737,中航城A区 二次装修 居家自住 保养好 提前约?,https://xm.58.com/ershoufang/44459172661413x.shtml,478,40855元/㎡,集美,"园博二里139-141,197-200号",3室2厅2卫,117.0㎡,东, 否 ,中层(共32层),简单装修,70年产权,2015年,中航城国际社区(A区B02地块公寓),40880.0元/㎡,2.6元/平米/月,0,0,800
738,降价30万！省优人民小学 东坪花园 精装三房 电?,https://xm.58.com/ershoufang/43735974513043x.shtml,445,54157元/㎡,思明,"东坪三里1-3,28-30,55,66-68,83,94-95号",3室2厅1卫,82.17㎡,南, 否 ,高层(共19层),精装修,70年产权,2010年,东坪花园(一期),55009.0元/㎡,1.25元/平米/月,3,35,10
739,观音山鑫塔水尚 两房两厅性价比高 可改三房 采光?,https://xm.58.com/ershoufang/44400411091463x.shtml,580,46662元/㎡,思明,塔埔路1-17号,2室2厅1卫,124.3㎡,东, 否 ,低层(共41层),精装修,70年产权,2014年,鑫塔水尚,81044.0元/㎡,3.2元/平米/月,4.8,40,500
740,出售 经典好房子，全明户型，视野开阔，包您喜欢哟?,https://xm.58.com/ershoufang/44424768286865x.shtml,305,23803元/㎡,集美,鱼福三里121-136号,4室2厅2卫,128.14㎡,南北, 否 ,低层(共16层),精装修,70年产权,2000年,龙湖嘉誉(一期公寓住宅),26936.0元/㎡,3.3元/平米/月,1.71,30,360
741,3室2厅芙蓉苑高端装修 满五省税费?,https://xm.58.com/ershoufang/44325873277326x.shtml,415,32144元/㎡,湖里,嘉园路41-317号,3室2厅1卫,129.11㎡,东西, 否 ,高层(共7层),豪华装修,70年产权,1998年,芙蓉苑,39015.0元/㎡,1.2元/平米/月,1.2,45,60
742,集美一小   拎包入住交通便利业主急售急售?,https://xm.58.com/ershoufang/44466768801822x.shtml,265,30460元/㎡,集美,银江路128之3-29号,2室2厅1卫,87.0㎡,南北, 否 ,高层(共7层),简单装修,70年产权,1996年,太源花园,30813.0元/㎡,1.0元/平米/月,0,0,500
743,首付6万起送车位 单价6字头~读百年 名 校?,https://xm.58.com/ershoufang/44443641048347x.shtml,62.29,6999元/㎡,厦门周边,208省道,3室2厅2卫,89.0㎡,南, 是 ,高层(共18层),精装修,70年产权,2015年,中骏四季花都,7324.0元/㎡,1.98元/平米/月,2.2,25,617
744,东渡六中旁，港务小区两房出售，中间楼层，南北通透?,https://xm.58.com/ershoufang/44470765117699x.shtml,302,42244元/㎡,湖里,和通里60-96号,2室2厅1卫,71.49㎡,南北, 否 ,低层(共7层),精装修,70年产权,1997年,港务小区,39629.0元/㎡,1.5元/平米/月,0,0,240
745,新出花园洋房 带70平独立前后大花园，宜居养老，?,https://xm.58.com/ershoufang/44449194219793x.shtml,100,8929元/㎡,厦门周边,201省道,3室2厅2卫,112.0㎡,南北, 否 ,低层(共9层),毛坯,70年产权,2015年,三盛国际海岸,8826.0元/㎡,1.98元/平米/月,1.39,25,2800
746,集美一小    3室2厅2卫停车方便业主挥泪急售?,https://xm.58.com/ershoufang/44466416431379x.shtml,285,30000元/㎡,集美,石鼓路227-251号,3室2厅2卫,95.0㎡,南, 否 ,中层(共7层),简单装修,70年产权,2000年,乐安花园,31705.0元/㎡,1.2元/平米/月,0,0,50
747,嘉园路 牛逼楼层 客厅带阳台 南北通透 小区中庭?,https://xm.58.com/ershoufang/44437276809998x.shtml,210,42000元/㎡,湖里,嘉园路41-317号,1室2厅1卫,50.0㎡,南北, 否 ,中层(共7层),精装修,70年产权,2002年,芙蓉苑,39015.0元/㎡,1.2元/平米/月,1.2,45,60
748,中c复式 装修花心思 换房到岛内 忍痛割爱 视野?,https://xm.58.com/ershoufang/44437884184218x.shtml,580,45659元/㎡,集美,九天湖二里1-11号,4室2厅3卫,127.03㎡,南北, 否 ,中层(共32层),精装修,70年产权,2015年,中航城国际社区(C区东区),40593.0元/㎡,2.6元/平米/月,0,0,400
749,读人民小学（莲坂地铁口）景观房 俯瞰 明发商业广?,https://xm.58.com/ershoufang/44178713360389x.shtml,245,55094元/㎡,思明,莲前西路14-16号,1室1厅1卫,44.47㎡,东, 否 ,高层(共18层),精装修,70年产权,2003年,阳光百合,57056.0元/㎡,1.45元/平米/月,0,0,500
750,首付30万  地铁一手现房 读双十 家门口 角美?,https://xm.58.com/ershoufang/44269229289363x.shtml,138,15182元/㎡,厦门周边,洪岱路,3室2厅1卫,90.9㎡,南北, 是 ,中层(共23层),毛坯,70年产权,2016年,龙泉丽景,16543.0元/㎡,1.6元/平米/月,3.1,30,2517
751,东渡振华大厦楼中楼出售，格局方正，临地铁口，?,https://xm.58.com/ershoufang/43857963649440x.shtml,670,43021元/㎡,湖里,东渡路59-61号,5室3厅3卫,155.74㎡,南北, 否 ,中层(共28层),精装修,70年产权,2005年,振华大厦,46550.0元/㎡,1.1元/平米/月,0,0,10
752,急！三盛国际  小洋房，单价仅8000！南北通透?,https://xm.58.com/ershoufang/44448829676940x.shtml,67,6768元/㎡,厦门周边,201省道,3室2厅2卫,99.0㎡,南北, 否 ,低层(共26层),毛坯,70年产权,2015年,三盛国际海岸,8826.0元/㎡,1.98元/平米/月,1.39,25,2800
753,和谐天下 299平 4室2厅 南北通透 房东急置?,https://xm.58.com/ershoufang/43681672066954x.shtml,486,16251元/㎡,同安,启辉十一路16-42号,4室2厅3卫,299.06㎡,南北, 否 ,高层(共26层),毛坯,70年产权,2010年,和谐天下,19489.0元/㎡,3.0元/平米/月,2,40,1089
754,国贸天悦 一期 南北通透 诚心出售 价格可议?,https://xm.58.com/ershoufang/44457524921613x.shtml,390,34822元/㎡,集美,杏北六里35-45号,3室0厅0卫,112.0㎡,南北, 否 ,低层(共32层),精装修,70年产权,2016年,国贸天悦(一期),37923.0元/㎡,2.8元/平米/月,3.27,30,1266
755,漳州港 永鸿厦门湾南岸 沿湖大平层 南北通透四房?,https://xm.58.com/ershoufang/44433647853223x.shtml,110,7972元/㎡,厦门周边,南滨大道389号,4室2厅2卫,138.0㎡,南北, 否 ,中层(共32层),毛坯,70年产权,2014年,永鸿厦门湾南岸,9532.0元/㎡,1.9元/平米/月,3.31,25,1513
756,角美大 唐世家 双十实小名校地铁 赠一个房间 十?,https://xm.58.com/ershoufang/44324743491857x.shtml,145,16293元/㎡,厦门周边,同发路,3室2厅2卫,89.0㎡,东, 是 ,高层(共25层),精装修,70年产权,2020年,角美大唐世家,16292.0元/㎡,0.0元/平米/月,3,30.1,1371
757,尊海 精装大三房 南北通透 看海看中庭  拎包入?,https://xm.58.com/ershoufang/44448988213012x.shtml,493,42130元/㎡,海沧,滨湖二里197-219号,3室1厅1卫,117.02㎡,南北, 否 ,低层(共31层),精装修,70年产权,2014年,禹洲尊海(公寓住宅),42948.0元/㎡,2.5元/平米/月,2.8,49,500
758,集美灌口龙湖三期，精装3房2卫，产权满二，高楼层?,https://xm.58.com/ershoufang/43828391055649x.shtml,240,26900元/㎡,集美,鱼福四里2-13号,3室2厅2卫,89.22㎡,南, 否 ,高层(共16层),精装修,70年产权,2016年,龙湖嘉誉(二期公寓住宅),27958.0元/㎡,3.0元/平米/月,0,0,230
759,朋友置换急售！ 地铁口 中庭2房 拎包入住  看?,https://xm.58.com/ershoufang/44456349685761x.shtml,500,57931元/㎡,湖里,嘉禾路334-380号,2室2厅1卫,86.31㎡,南北, 否 ,中层(共20层),精装修,70年产权,2003年,东方巴黎广场,56426.0元/㎡,1.5元/平米/月,2,45,800
760,就读故宫小学，精装三室，东南北三面采光，120平?,https://xm.58.com/ershoufang/43968413512731x.shtml,560,46941元/㎡,思明,故宫路77、85、93号,3室2厅2卫,119.3㎡,南北, 否 ,高层(共6层),精装修,70年产权,1992年,故宫新城,50167.0元/㎡,1.2元/平米/月,0,0,20
761,低于行情价20w的好房子来了 汇景广场旁 精装三?,https://xm.58.com/ershoufang/44426843138983x.shtml,302,26289元/㎡,翔安,祥福六里51-70号,3室2厅2卫,114.88㎡,南北, 否 ,低层(共28层),精装修,70年产权,2014年,宝嘉拉德芳斯,29904.0元/㎡,1.98元/平米/月,2.3,30,100
762,3室2厅2卫 126.0平米 870.00万元?,https://xm.58.com/ershoufang/44444676979364x.shtml,870,69048元/㎡,思明,文塔路88-96号,3室2厅2卫,126.0㎡,南北, 否 ,低层(共27层),简单装修,,2005年,文园雅阁,69627.0元/㎡,1.65元/平米/月,0,0,5
763,山木清华读五中卧龙晓城大三房可改四房卧龙晓城BR?,https://xm.58.com/ershoufang/44457741237391x.shtml,668,49574元/㎡,思明,莲前西路351-369号,3室2厅2卫,134.75㎡,南北, 否 ,高层(共17层),简单装修,70年产权,2004年,山木清华,51096.0元/㎡,1.8元/平米/月,0,40,10
764,（必看新房）首付6万起~单价6开头~月供2000?,https://xm.58.com/ershoufang/44489383176970x.shtml,60,6742元/㎡,厦门周边,208省道,3室2厅2卫,89.0㎡,南北, 是 ,中层(共18层),精装修,70年产权,2018年,中骏四季花都,7324.0元/㎡,1.98元/平米/月,2.2,25,617
765,台湾街精装修  2室2厅 拎包入住  钥匙在手?,https://xm.58.com/ershoufang/44490909496842x.shtml,312,51613元/㎡,湖里,台湾街300-318号,2室2厅1卫,60.45㎡,北, 否 ,低层(共24层),精装修,70年产权,2003年,金盛大厦,51406.0元/㎡,1.0元/平米/月,0,0,30
766,电梯房 143平 精装修 1150万 3室2厅 ?,https://xm.58.com/ershoufang/44336131579416x.shtml,1150,80140元/㎡,思明,阳鸿园1-19号,3室2厅2卫,143.5㎡,南, 否 ,高层(共11层),精装修,70年产权,2002年,阳鸿新城,84514.0元/㎡,1.5元/平米/月,3.2,35,50
767,双桥明珠房，读实验幼儿园实验小学一中，省两个税?,https://xm.58.com/ershoufang/43723812471959x.shtml,248,22616元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.66㎡,南, 否 ,中层(共12层),简单装修,70年产权,2008年,双桥明珠,24596.0元/㎡,1.6元/平米/月,1.8,45,624
768,中交国贸鹭原 一手新房 近地铁 团购更优惠！?,https://xm.58.com/ershoufang/44377567995394x.shtml,424,38546元/㎡,集美,"杏锦路,近苑亭路",3室2厅2卫,110.0㎡,南, 是 ,,精装修,,,中交国贸鹭原,38537.0元/㎡,0.0元/平米/月,3.48,30,1473
769,建发品质 带车位急售  标准四房 正中庭 双阳台?,https://xm.58.com/ershoufang/43994645948675x.shtml,720,50669元/㎡,湖里,祥店里80-108号,4室2厅2卫,142.1㎡,南北, 否 ,中层(共20层),精装修,70年产权,2008年,国贸阳光,56529.0元/㎡,1.98元/平米/月,2.92,40,1300
770,急售! 泉水湾三期 满五   精装大两房 拎包入?,https://xm.58.com/ershoufang/44345155921542x.shtml,306,34557元/㎡,集美,乐海北里320-329号,2室2厅1卫,88.55㎡,南北, 否 ,高层(共26层),精装修,70年产权,2013年,泉舜泉水湾(三期),36814.0元/㎡,1.8元/平米/月,3.49,35,350
771,马銮湾1号 3室2厅2卫 优惠楼盘 团购优惠 人?,https://xm.58.com/ershoufang/44479957763970x.shtml,426,37044元/㎡,海沧,"新阳大道,近新景路",3室2厅2卫,115.0㎡,南, 是 ,,精装修,70年产权,2021年,马銮湾1号,36965.0元/㎡,3.5元/平米/月,3,35,995
772,首付20万出头 复式小洋房0公摊 地铁出门400?,https://xm.58.com/ershoufang/44458578176029x.shtml,130,15477元/㎡,厦门周边,角江路,3室2厅2卫,84.0㎡,南北, 是 ,低层(共12层),精装修,70年产权,2018年,宝嘉誉峰,18131.0元/㎡,0.0元/平米/月,1.99,30,912
773,禾祥东 花园小区 独特挑高3米6 精装大五房 换?,https://xm.58.com/ershoufang/44435852469658x.shtml,888,72196元/㎡,思明,汇文路79-89号,5室2厅2卫,123.0㎡,南北, 否 ,低层(共49层),精装修,70年产权,2014年,罗宾森璀璨新城(二期),68157.0元/㎡,2.0元/平米/月,8.86,30,2000
774,急售 海沧湾公园 地铁旁 绿苑小区 天心岛 三房?,https://xm.58.com/ershoufang/44491737876749x.shtml,376,34182元/㎡,海沧,沧湖东一里42-95号,3室2厅1卫,110.0㎡,南, 否 ,高层(共11层),简单装修,70年产权,2007年,绿苑小区,35036.0元/㎡,1.3元/平米/月,3.4,45,3000
775,南北通透 精装修 143平 满五  住房 观海澜?,https://xm.58.com/ershoufang/44380709983764x.shtml,820,57175元/㎡,思明,下堡路163-177号,4室2厅2卫,143.42㎡,南北, 否 ,中层(共28层),精装修,70年产权,2014年,观海澜庭,60260.0元/㎡,3.5元/平米/月,2.5,40,200
